Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency
Q4 2013,51.7,,34.1,65.95744680851064,,,,-2.6,-5.029013539651837,,,,,,,,,,,,,,,,,millions,USD
FY2013,160.0,59.9,100.1,62.5625,-28.9,-18.062499999999996,-21.9,-29.8,-18.625,,2.4,7.9,-5.5,84.1,122.5,38.4,6.8,43.2,72.5,24.6,,,,,,millions,USD
Q1 2014,47.1,17.3,29.8,63.26963906581741,-12.3,-26.11464968152866,-10.4,-12.5,-26.53927813163482,,-2.4,3.9,-6.3,90.0,124.9,34.9,6.3,45.7,74.8,8.7,,,,,,millions,USD
H1-2014,105.9,36.2,69.7,65.81680830972616,-18.1,-17.091595845136922,-14.3,-18.5,-17.469310670443814,,3.8,7.9,-4.1000000000000005,,,,,,74.2,21.9,,,,,,millions,USD
Q2 2014,58.8,18.9,39.9,67.85714285714286,-5.8,-9.863945578231291,,-6.0,-10.204081632653061,,6.199999999999999,4.0,2.1999999999999993,99.6,139.7,40.1,5.8,49.5,75.4,13.2,,,,,,millions,USD
Q3 2014,69.0,21.8,47.2,68.40579710144928,-5.0,-7.246376811594203,,-5.2,-7.536231884057972,,11.399999999999999,3.6999999999999993,7.699999999999999,115.0,159.4,44.4,5.2,63.2,76.4,13.8,,,,,,millions,USD
Q4 2014,84.3,,59.4,70.46263345195729,,,,1.3,1.542111506524318,,,,,,,,,,,,,,,,,millions,USD
FY2014,259.2,82.9,176.3,68.01697530864197,-21.5,-8.294753086419753,-13.1,-22.4,-8.641975308641975,,23.6,16.2,7.400000000000002,140.2,184.6,44.4,4.6,71.8,77.3,50.0,,,,,,millions,USD
Q1 2015,72.8,26.3,46.5,63.87362637362638,-12.7,-17.445054945054945,-10.299999999999999,-12.9,-17.71978021978022,,3.4,8.0,-4.6,148.6,189.3,40.7,4.1,54.2,79.2,15.9,,,,,,millions,USD
H1-2015,166.0,53.5,112.5,67.7710843373494,-16.3,-9.819277108433736,-11.3,-16.6,-10.0,,19.8,14.3,5.5,,,,,,78.7,36.6,,,,,,millions,USD
Q2 2015,93.2,27.2,66.0,70.81545064377683,-3.6,-3.862660944206008,,-3.7,-3.969957081545064,,16.400000000000002,6.300000000000001,10.100000000000001,170.7,218.4,47.7,3.5,67.7,80.0,20.7,,,,,,millions,USD
Q3 2015,105.2,30.5,74.7,71.00760456273764,-42.4,-40.3041825095057,,-42.5,-40.39923954372623,,17.900000000000002,7.399999999999999,10.500000000000004,193.3,256.7,63.4,2.9,85.3,81.3,22.6,,,,,,millions,USD
