Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,CashFromOps,Notes
Q1 2024,1058.1,294.1,764.0,72.2,339.6,32.1,548.8,236.2,,0.67,,0.2,387.6,760.2,,,3525.5,436.3,348.6,,,,,392.8,Total company incl. Apps; from Q1-2024 10-Q
Q2 2024,1080.1,282.5,797.6,73.8,391.0,36.2,601.2,310.0,,0.89,,3.9,445.5,814.8,,,3517.8,460.4,348.0,,,,,454.5,Total company incl. Apps; from Q2-2024 10-Q
Q3 2024,1198.2,269.7,928.5,77.5,534.9,44.7,721.6,434.4,,1.25,,0.1,545.1,938.2,,,3510.1,567.6,348.2,,,,,550.7,Total company incl. Apps; from Q3-2024 10-Q
Q4 2024,1372.8,320.5,1052.3,76.7,608.0,44.3,848.0,599.2,,,,0.5,695.2,1089.8,,,3509.0,741.4,340.0,,,,,701.0,Derived (FY2024 minus 9-month); balance sheet = Dec 31 2024
FY2024,4709.2,1166.8,3542.4,75.2,1873.5,39.8,2719.6,1579.8,,4.53,,4.8,2073.4,1089.8,,,3509.0,741.4,347.8,,,,,2099.0,From FY2024 10-K (as filed); total company incl. Apps
Q1 2025,1484.0,271.2,1212.8,81.7,663.5,44.7,1005.0,576.4,,1.67,,0.1,825.7,575.4,,,3710.0,551.0,344.9,,,,,831.7,From Q1-2025 10-Q (as originally filed); includes Apps rev ($325M est.) before discontinued ops reclassification; goodwill impairment $188.9M in OpEx
Q2 2025,1258.8,155.1,1103.7,87.7,957.7,76.1,1018.3,819.5,,2.39,,0.0,768.1,1167.1,,,3511.0,1192.6,342.2,,,,,772.2,Advertising revenue only (Apps = discontinued ops in Q2-2025 10-Q); total NI includes +$47.7M from discontinued ops; CFO/FCF derived from 6-month minus Q1
Q3 2025,1405.0,174.9,1230.2,87.6,1079.0,76.8,1157.7,835.5,,2.45,,0.1,1049.0,1473.9,,,3512.0,1666.9,341.0,,,,,1053.4,Advertising revenue only (Apps = discontinued ops); $0 discontinued ops in Q3 2025
Q4 2025,1657.9,183.5,1474.4,88.9,1275.2,76.9,1398.7,1102.3,,,,0.2,1309.2,2134.7,,,3513.0,2487.1,338.3,,,,,1313.7,Derived (FY2025 minus 9-month); Advertising only; balance sheet = Dec 31 2025
FY2025,5480.7,665.1,4815.6,87.9,4151.9,75.8,4512.5,3333.8,,9.75,,0.5,3952.0,2134.7,,,3513.0,2487.1,342.0,,,,,3971.1,From FY2025 10-K; Advertising only (Apps divested in 2025); NI includes -$99.4M loss from discontinued ops
Q1 2026,1842.4,203.6,1638.8,89.0,1439.9,78.2,1556.9,1205.6,,3.56,,0.4,1286.7,2363.5,,,3514.0,2758.7,338.7,,,,,1291.4,Advertising only; from Q1-2026 10-Q
