Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,DigitalMediaRevenue,DigitalExperienceRevenue,SubscriptionRevenue,DigitalMediaARR,TotalAdobeARR
FY2011,4216.258,437.873,3778.385,89.61465356247176,1099.299,26.072858918975072,,832.847,19.753226676356146,1.65,1543.314,210.294,1333.02,5783.113,8991.183,3208.07,1505.096,989.5,503.921,286.103,,,,,,millions,USD,,,,,
Q1 2012,1045.22,108.265,936.955,89.64189357264499,288.979,27.64767226038537,,185.209,17.719618836225866,0.37,314.363,51.088,263.275,5986.302,9132.708,3146.406,1502.893,801.263,500.378,71.582,,,,,,millions,USD,,,,,
H1-2012,2169.669,239.183,1930.486,88.9760604036837,594.122,27.383070873944366,,409.085,18.85471931432859,0.81,762.581,111.855,650.726,,,,,,502.154,142.98,,,,,,millions,USD,,,,,
Q2 2012,1124.449,130.918,993.531,88.35714203134157,305.143,27.137113377307458,,223.876,19.909840286220184,0.45,448.218,60.767,387.451,6099.646,9365.832,3266.186,1500.668,951.238,501.377,,,,,,,millions,USD,,,,,
Q3 2012,1080.58,119.621,960.959,88.92992652094246,278.304,25.755057469136943,,201.357,18.63415943289715,0.4,263.34000000000003,77.432,185.90800000000002,6438.693,9630.013,3191.32,1499.881,1162.38,499.757,,,,,,,millions,USD,,,,,
Q4 2012,1153.428,,1028.45,89.16464660126162,,,,222.333,19.275845566433272,0.44,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2012,4403.677,483.782,3919.895,89.01413523289743,1180.191,26.80012634895793,,832.775,18.910901049282224,1.66,1499.58,271.076,1228.504,6665.182,10040.229,3375.047,1496.938,1425.052,502.721,298.502,,,,,,millions,USD,,,,,
Q1 2013,1007.873,156.684,851.189,84.45399370754053,98.224,9.745672321810387,,65.117,6.46083385505912,0.13,322.031,60.19,261.841,6805.338,10165.711,3360.373,1509.003,1306.382,507.84,84.196,,,,,,millions,USD,,,,,
H1-2013,2018.422,291.965,1726.457,85.53498723260053,209.533,10.381030329633743,,141.663,7.018502572801923,0.28,621.179,106.439,514.74,,,,,,511.535,163.066,,,,,,millions,USD,,,,,
Q2 2013,1010.549,135.281,875.268,86.61311821594005,111.309,11.014705867800572,,76.546,7.5746945472213625,0.15,299.14799999999997,46.248999999999995,252.89899999999997,6927.302,10280.369,3353.067,1505.56,1246.41,512.446,,,,,,,millions,USD,,,,,
Q3 2013,995.119,147.076,848.043,85.22026008949683,110.354,11.089527986100155,,83.002,8.34091199143017,0.16,215.52499999999998,46.798,168.72699999999998,6834.759,10234.156,3399.397,1502.369,819.085,514.058,,,,,,,millions,USD,,,,,
Q4 2013,1041.699,,894.183,85.83890356043348,,,,65.32,6.270525362892735,0.13,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2013,4055.24,586.557,3468.683,85.53582525325258,422.723,10.424117931367812,,289.985,7.15087146506742,0.56,1151.686,188.358,963.328,6724.634,10380.298,3655.664,1513.973,834.556,513.476,328.987,,,,,,millions,USD,,,,,
Q1 2014,1000.12,148.509,851.611,85.1508818941727,78.746,7.8736551613806345,,47.046,4.704035515738111,0.09,251.673,29.393,222.28,6610.883,10245.882,3634.999,1509.728,733.916,508.34,82.788,,,,,,millions,USD,,,,,
H1-2014,2068.328,303.413,1764.915,85.33051817700094,214.004,10.346714834397638,,135.573,6.554714726097602,0.27,619.209,56.591,562.6179999999999,,,,,,508.227,165.798,,,,,,millions,USD,,,,,
Q2 2014,1068.208,154.904,913.304,85.49870437218219,135.258,12.662140706678848,,88.527,8.287430912331681,0.17,367.53599999999994,27.198,340.33799999999997,6636.888,10372.199,3735.311,1506.293,817.02,506.687,,,,,,,millions,USD,,,,,
Q3 2014,1005.409,157.724,847.685,84.31245393665662,74.176,7.377694052868038,,44.686,4.444559378322653,0.09,268.5200000000001,54.966,213.5540000000001,6731.26,10493.68,3762.42,1508.256,903.329,507.811,,,,,,,millions,USD,,,,,
Q4 2014,1073.328,,912.385,85.00523605086237,,,,88.136,8.211469373760863,0.17,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2014,4147.065,622.08,3524.985,84.99951170285492,412.685,9.951254682528488,,268.395,6.471926531173251,0.53,1287.482,148.332,1139.15,6775.905,10785.829,4009.924,1514.315,1117.4,508.48,333.701,,,,,,millions,USD,,,,,
Q1 2015,1109.181,166.798,942.383,84.96205759024001,173.025,15.59934762676245,,84.888,7.653214398732038,0.17,183.015,35.546,147.469,6589.02,11008.422,4419.402,1901.618,712.884,507.526,84.208,,,,,,millions,USD,,,,,
H1-2015,2271.339,351.971,1919.368,84.50381030748822,366.642,16.14210824540062,,232.381,10.23101351229385,0.46,654.499,71.276,583.2230000000001,,,,,,507.061,168.86,,,,,,millions,USD,,,,,
Q2 2015,1162.158,185.173,976.985,84.06645223799174,193.617,16.660127108362204,,147.493,12.69130359211054,0.29,471.48400000000004,35.73,435.754,6610.103,11165.383,4555.28,1904.376,956.147,505.582,,,,,,,millions,USD,,,,,
Q3 2015,1217.768,190.985,1026.783,84.31679925897214,246.019,20.202452355456867,,174.465,14.32662050571209,0.34,360.48799999999994,48.98400000000001,311.5039999999999,6841.332,11508.395,4667.063,1906.094,829.292,505.809,,,,,,,millions,USD,,,,,
Q4 2015,1306.404,,1105.043,84.58662098401413,,,,222.705,17.04717683044449,0.44,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2015,4795.511,744.317,4051.194,84.4788803528967,903.095,18.832091095192983,,629.551,13.127923176487343,1.24,1469.502,184.936,1284.566,7001.58,11726.472,4724.892,1907.231,876.56,507.164,335.859,,,,,,millions,USD,,,,,
Q1 2016,1383.335,198.572,1184.763,85.6454148850423,307.758,22.247539460795828,,254.307,18.38361640528144,0.5,497.527,46.2,451.327,7081.202,11896.682,4815.48,1916.831,830.696,505.676,92.31,,,,,,millions,USD,,,,,
H1-2016,2782.044,400.651,2381.393,85.59868212005274,651.997,23.435898210093008,,498.381,17.914202651000487,0.99,986.242,99.959,886.2829999999999,,,,,,505.666,177.879,,,,,,millions,USD,,,,,
Q2 2016,1398.709,202.079,1196.63,85.55246302125747,344.239,24.61119503770977,,244.074,17.44994848821306,0.48,488.715,53.759,434.95599999999996,7248.611,12216.783,4968.172,1918.389,886.379,504.725,,,,,,,millions,USD,,,,,
Q3 2016,1463.967,202.701,1261.266,86.15399117603062,369.325,25.22768614319858,,270.788,18.496865024962993,0.54,517.885,55.212999999999994,462.672,7277.946,12367.441,5089.495,1916.591,767.672,503.669,,,,,,,millions,USD,,,,,
Q4 2016,1608.419,,1391.863,86.53609538310602,,,,399.613,24.845080790515407,0.8,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2016,5854.43,819.908,5034.522,85.99508406454599,1493.602,25.512338519719258,,1168.782,19.96406140307425,2.32,2199.728,203.805,1995.923,7424.835,12697.246,5272.411,1892.2,1011.315,504.299,349.297,,,,,,millions,USD,,,,,
Q1 2017,1681.646,237.337,1444.309,85.88662536586178,468.999,27.88928228652166,,398.446,23.693809517579805,0.8,730.37,30.903,699.467,7588.69,13044.783,5456.093,1884.074,1068.896,500.861,98.31,,,,,,millions,USD,,,,,
H1-2017,3453.836,476.697,2977.139,86.19804182943255,973.081,28.1739202440417,,772.836,22.376163778477036,1.54,1375.197,86.2,1288.9969999999998,,,,,,501.032,214.359,,,,,,millions,USD,,,,,
Q2 2017,1772.19,239.36,1532.83,86.49354753158521,504.082,28.444015596521815,,374.39,21.125838651611847,0.75,644.8269999999999,55.297000000000004,589.5299999999999,7803.998,13364.9,5560.902,1888.398,1316.95,500.351,,,,,,,millions,USD,,,,,
Q3 2017,1841.074,262.922,1578.152,85.71909657080596,545.674,29.638895557701645,,419.569,22.789360992551085,0.84,704.4359999999999,54.237999999999985,650.198,8170.434,13906.815,5736.381,1889.218,1774.55,500.398,,,,,,,millions,USD,1270.2,529.5,,,
Q4 2017,2006.595,,1735.723,86.50091323859573,,,,501.549,24.99502889222788,1.0,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2017,7301.505,1010.491,6291.014,86.16051074401784,2168.095,29.693809700876734,,1693.954,23.2000662877037,3.38,2912.853,178.122,2734.731,8459.0,14535.556,6075.687,1881.421,2306.0,501.123,454.472,,,,,,millions,USD,5010.6,2120.0,,5230.0,
Q1 2018,2078.947,258.902,1820.045,87.54648386899714,702.733,33.80235282573341,,583.076,28.046698641187103,1.17,989.601,95.142,894.4590000000001,8634.028,14973.485,6339.457,1874.794,2666.981,499.433,135.526,,,,,,millions,USD,1460.6,554.1,,,
H1-2018,4274.307,540.246,3734.061,87.3606177562819,1401.217,32.78232003456935,,1246.243,29.156609480788347,2.5,1966.007,140.458,1825.549,,,,,,499.166,280.902,,,,,,millions,USD,,,,,
Q2 2018,2195.36,281.344,1914.016,87.18460753589389,698.484,31.816376357408355,,663.167,30.207665257634282,1.33,976.4060000000001,45.316,931.09,8705.583,15163.404,6457.821,1874.057,2987.986,498.252,,,,,,,millions,USD,1546.4,586.0,,,
Q3 2018,2291.076,295.492,1995.584,87.10247935904353,718.606,31.365437026096032,,666.291,29.08201212006935,1.34,955.3040000000001,63.55799999999999,891.7460000000001,8861.925,15395.62,6533.695,1874.654,1747.144,496.866,,,,,,,millions,USD,1608.9,614.0,,,
Q4 2018,2464.625,,2105.364,85.42329969062231,,,,678.24,27.51899376172846,1.37,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2018,9030.0,1195.0,7835.0,86.76633444075304,2840.0,31.450719822812843,,2591.0,28.69324473975637,5.2,4029.0,267.0,3762.0,9362.0,18768.682,9406.568,4124.8,1643.0,497.8,610.0,,,,,,millions,USD,6325.3,2443.7,,6710.0,
Q1 2019,2601.0,397.0,2204.0,84.73663975394079,695.0,26.720492118415994,,674.0,25.913110342176086,1.36,1013.0,65.0,948.0,9871.0,19505.536,9634.051,4129.587,1739.0,494.2,185.0,,,,,,millions,USD,1776.6,743.3,,,
H1-2019,5345.0,805.0,4540.0,84.93919550982227,1444.0,27.015902712815716,,1307.0,24.452759588400376,2.65,2123.0,211.0,1912.0,,,,,,493.2,389.0,,,,,,millions,USD,,,,,
Q2 2019,2744.0,407.0,2337.0,85.167638483965,750.0,27.332361516034986,,633.0,23.068513119533527,1.29,1110.0,146.0,964.0,9932.0,19665.909,9734.216,4133.606,2083.0,492.2,,,,,,,millions,USD,1890.2,783.5,,,
Q3 2019,2834.0,416.0,2418.0,85.3211009174312,854.0,30.134086097388852,,793.0,27.981651376146786,1.61,922.0,89.0,833.0,10243.0,20054.88,9812.107,4137.016,2209.0,491.0,,,,,,,millions,USD,1962.2,821.0,,,
Q4 2019,2992.0,,2540.0,84.89304812834224,,,,852.0,28.475935828877002,1.74,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2019,11171.0,1673.0,9498.0,85.02372213767792,3268.0,29.254319219407392,,2951.0,26.41661444812461,6.0,4422.0,395.0,4027.0,10530.0,20762.0,10232.0,4138.0,2650.0,491.6,788.0,,,,,,millions,USD,7707.0,3206.2,,8400.0,
Q1 2020,3091.0,452.0,2639.0,85.37690067939178,937.0,30.313814299579423,,955.0,30.89615011323196,1.96,1325.0,94.0,1231.0,10465.0,21214.0,10749.0,4113.0,2688.0,487.8,217.0,,,,,,millions,USD,2169.0,858.0,,,
H1-2020,6219.0,867.0,5352.0,86.05885190545104,1953.0,31.403762662807527,,2055.0,33.04389773275446,4.23,2509.0,190.0,2319.0,,,,,,486.3,444.0,,,,,,millions,USD,,,,,
Q2 2020,3128.0,415.0,2713.0,86.73273657289002,1016.0,32.48081841432225,,1100.0,35.16624040920716,2.27,1184.0,96.0,1088.0,10881.0,21603.0,10722.0,4114.0,3044.0,484.8,227.0,,,,,,millions,USD,2232.0,826.0,,,
Q3 2020,3225.0,427.0,2798.0,86.75968992248062,1069.0,33.14728682170542,,955.0,29.612403100775193,1.97,1436.0,126.0,1310.0,11713.0,22414.0,10701.0,4116.0,3767.0,484.9,232.0,,,,,,millions,USD,2337.0,838.0,,,
Q4 2020,3424.0,428.0,2996.0,87.5,,,,2250.0,65.71261682242991,4.64,,,,,,,,,,,,,,,,millions,USD,,,,,
FY2020,12868.0,1722.0,11146.0,86.61796705004663,4237.0,32.92663972645322,,5260.0,40.87659309916071,10.83,5727.0,419.0,5308.0,13264.0,24284.0,11020.0,4117.0,4478.0,485.5,909.0,,,,,,millions,USD,9233.0,3125.0,11626.0,10260.0,
Q1 2021,3905.0,447.0,3458.0,88.55313700384123,1454.0,37.234314980793854,,1261.0,32.29193341869398,2.61,1772.0,59.0,1713.0,13546.0,24985.0,11439.0,4119.0,3452.0,482.9,260.0,,,,,,millions,USD,2859.0,934.0,,,
H1-2021,7740.0,891.0,6849.0,88.48837209302326,2860.0,36.95090439276486,,2377.0,30.710594315245476,4.93,3760.0,154.0,3606.0,,,,,,481.9,520.0,,,,,,millions,USD,,,,,
Q2 2021,3835.0,444.0,3391.0,88.42242503259452,1406.0,36.662320730117344,,1116.0,29.10039113428944,2.32,1988.0,95.0,1893.0,13852.0,25582.0,11730.0,4120.0,4250.0,480.8,260.0,,,,,,millions,USD,2787.0,938.0,,,
Q3 2021,3935.0,467.0,3468.0,88.13214739517153,1441.0,36.62007623888183,,1212.0,30.8005082592122,2.52,1404.0,95.0,1309.0,14414.0,26144.0,11730.0,4122.0,4623.0,480.7,280.0,,,,,,millions,USD,2865.0,985.0,,,
FY2021,15785.0,1865.0,13920.0,88.18498574596136,5802.0,36.75641431738993,,4822.0,30.54798859676908,10.02,7230.0,348.0,6882.0,14797.0,27241.0,12444.0,4123.0,3844.0,481.0,1069.0,,,,,,millions,USD,11520.0,3867.0,14573.0,12240.0,
Q1 2022,4262.0,512.0,3750.0,87.98686062881276,1580.0,37.07179727827311,,1266.0,29.704364148287187,2.66,1769.0,100.0,1669.0,13775.0,25976.0,12201.0,4125.0,2739.0,475.4,322.0,,,,,,millions,USD,3110.0,1057.0,,,
H1-2022,8648.0,1051.0,7597.0,87.84690101757631,3109.0,35.95050878815911,,2444.0,28.26086956521739,5.15,3809.0,226.0,3583.0,,,,,,474.3,674.0,,,,,,millions,USD,,,,,
Q2 2022,4386.0,539.0,3847.0,87.7108983128135,1529.0,34.8609211126311,,1178.0,26.858185134518926,2.49,2040.0,126.0,1914.0,13985.0,26326.0,12341.0,4126.0,3365.0,473.3,352.0,,,,,,millions,USD,3200.0,1095.0,,,
Q3 2022,4433.0,546.0,3887.0,87.68328445747801,1484.0,33.4762012181367,,1136.0,25.625986916309497,2.42,1704.0,125.0,1579.0,14373.0,26744.0,12371.0,4127.0,3870.0,469.4,378.0,,,,,,millions,USD,3232.0,1120.0,,,
FY2022,17606.0,2165.0,15441.0,87.70305577643985,6098.0,34.635919572872886,,4756.0,27.013518118823125,10.1,7838.0,442.0,7396.0,14051.0,27165.0,13114.0,4129.0,4236.0,470.9,1440.0,,,,,,millions,USD,12842.0,4422.0,16388.0,13970.0,
Q1 2023,4655.0,568.0,4087.0,87.79806659505908,1586.0,34.07089151450054,,1247.0,26.78839957035446,2.71,1693.0,101.0,1592.0,14206.0,26667.0,12461.0,3630.0,4072.0,459.5,416.0,,,,,,millions,USD,3395.0,1176.0,,,
H1-2023,9471.0,1140.0,8331.0,87.96325625593919,3210.0,33.89293633196072,,2542.0,26.83982683982684,5.54,3832.0,222.0,3610.0,,,,,,459.1,849.0,,,,,,millions,USD,,,,,
Q2 2023,4816.0,572.0,4244.0,88.12292358803987,1624.0,33.72093023255814,,1295.0,26.889534883720927,2.82,2139.0,121.0,2018.0,14838.0,27838.0,13000.0,3631.0,5456.0,458.7,433.0,,,,,,millions,USD,3511.0,1222.0,,,
Q3 2023,4890.0,580.0,4310.0,88.13905930470347,1697.0,34.70347648261758,,1403.0,28.69120654396728,3.05,1873.0,91.0,1782.0,15776.0,29090.0,13314.0,3633.0,6601.0,459.5,442.0,,,,,,millions,USD,3594.0,1229.0,,,
FY2023,19409.0,2354.0,17055.0,87.8716059559998,6650.0,34.262455561852754,,5428.0,27.96640733680251,11.82,7302.0,360.0,6942.0,16518.0,29779.0,13261.0,3634.0,7141.0,459.1,1718.0,,,,,,millions,USD,14216.0,4893.0,18284.0,15170.0,
Q1 2024,5182.0,590.0,4592.0,88.61443458124276,907.0,17.502894635275958,,620.0,11.964492473948281,1.36,1174.0,37.0,1137.0,15460.0,28751.0,13291.0,3635.0,6254.0,456.3,451.0,,,,,,millions,USD,3816.0,1289.0,,,
H1-2024,10491.0,1188.0,9303.0,88.67600800686303,2792.0,26.61328757983033,,2193.0,20.90363168430083,4.83,3114.0,78.0,3036.0,,,,,,453.9,918.0,,,,,,millions,USD,,,,,
Q2 2024,5309.0,598.0,4711.0,88.73610849500848,1885.0,35.50574496138633,,1573.0,29.62893200226031,3.49,1940.0,41.0,1899.0,14843.0,30007.0,15164.0,5625.0,7660.0,451.4,467.0,,,,,,millions,USD,3908.0,1327.0,,,
Q3 2024,5408.0,554.0,4854.0,89.75591715976331,1992.0,36.83431952662722,,1684.0,31.139053254437872,3.76,2021.0,57.0,1964.0,14545.0,29830.0,15285.0,5627.0,7193.0,447.6,474.0,,,,,,millions,USD,3995.0,1354.0,,,
FY2024,21505.0,2358.0,19147.0,89.035108114392,6741.0,31.346198558474775,,5560.0,25.854452452917926,12.36,8056.0,183.0,7873.0,14105.0,30230.0,16125.0,5628.0,7613.0,449.7,1833.0,,,,,,millions,USD,15864.0,5366.0,20521.0,17330.0,22610.0
Q1 2025,5714.0,622.0,5092.0,89.11445572278613,2163.0,37.85439271963598,,1811.0,31.69408470423521,4.14,2482.0,26.0,2456.0,13095.0,29955.0,16860.0,6155.0,6758.0,437.6,475.0,,,,,,millions,USD,4227.0,1414.0,,17630.0,
H1-2025,11587.0,1260.0,10327.0,89.12574436868906,4272.0,36.86890480711142,,3502.0,30.223526365754726,8.08,4673.0,73.0,4600.0,,,,,,433.2,956.0,,,,,,millions,USD,,,,,
Q2 2025,5873.0,638.0,5235.0,89.13672739656053,2109.0,35.91009705431637,,1691.0,28.792780521028433,3.94,2191.0,47.0,2144.0,11448.0,28107.0,16659.0,6166.0,4931.0,428.9,481.0,,,,,,millions,USD,4345.0,1457.0,,18090.0,
Q3 2025,5988.0,642.0,5346.0,89.27855711422845,2173.0,36.28924515698063,,1772.0,29.592518370073478,4.18,2198.0,72.0,2126.0,11770.0,28754.0,16984.0,6200.0,4982.0,424.1,497.0,,,,,,millions,USD,4459.0,1476.0,,18590.0,
FY2025,23769.0,2551.0,21218.0,89.26753334174765,8706.0,36.62754007320459,,7130.0,29.99705498758888,16.7,10031.0,179.0,9852.0,11623.0,29496.0,17873.0,6210.0,5431.0,427.0,1942.0,,,,,,millions,USD,17649.0,5864.0,22904.0,19200.0,25200.0
Q1 2026,6398.0,664.0,5734.0,89.62175679899968,2418.0,37.79306033135355,,1889.0,29.52485151609878,4.6,2958.0,37.0,2921.0,11433.0,29704.0,18271.0,6228.0,6332.0,410.8,509.0,,,,,,millions,USD,,,6198.0,,26060.0
H1-2026,13016.0,1379.0,11637.0,89.40534726490473,4656.0,35.771358328211434,,3601.0,27.6659496004917,8.86,5123.0,95.0,5028.0,,,,,,406.6,1043.0,,,,,,millions,USD,,,,,
Q2 2026,6618.0,715.0,5903.0,89.19613176186158,2238.0,33.816863100634635,,1712.0,25.868842550619526,4.25,2165.0,58.0,2107.0,11518.0,29933.0,18415.0,6645.0,4919.0,402.5,536.0,,,,,,millions,USD,,,6416.0,,27100.0
