Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NormalisedNPAT,Employees,NormalisedEBIT,NormalisedEBITDA,RevenueAustralia,RevenueNewZealand,RevenueOther,RevenueUnitedKingdom
FY2020,398.704,237.432,161.272,40.4,70.297,17.6,92.206,43.886,11.0,0.166,60.952,12.317,48.635,279.731,701.42,421.689,175.4,32.359,265.254,,0.115,,,,,millions,AUD,44.923,,71.84,92.206,323.183,47.319,28.202,
H1 FY2021,197.235,119.267,77.968,39.5,32.078,16.3,42.163,18.501,9.4,0.07,38.183,1.307,36.876,286.239,704.886,418.647,166.029,42.343,264.322,,,,,,,millions,AUD,20.014,,32.078,,,,,
FY2021,405.736,241.66,164.076,40.4,58.953,14.5,88.401,35.056,8.6,0.133,78.298,5.147,73.151,296.611,690.139,393.528,146.106,42.634,265.923,,0.125,,,,,millions,AUD,42.324,578.0,68.482,88.401,319.831,54.186,31.719,
H1 FY2022,201.343,121.674,79.669,39.6,30.205,15.0,40.459,18.562,9.2,0.07,24.683,1.164,23.519,300.894,682.323,381.429,138.564,35.91,265.205,,,,,,,millions,AUD,22.361,,35.619,,,,,
FY2022,418.717,256.902,161.815,38.6,59.672,14.3,94.61,35.179,8.4,0.133,13.988,2.408,11.58,303.826,716.028,412.202,168.328,31.44,266.824,,0.15,,,,,millions,AUD,47.265,550.0,74.849,94.61,340.625,45.173,32.919,
H1 FY2023,207.09,129.496,77.594,37.5,34.113,16.5,43.367,21.326,10.3,0.08,30.549,1.219,29.33,301.014,714.109,413.095,184.006,48.746,265.205,,,,,,,millions,AUD,21.326,,34.113,,,,,
FY2023,411.84,253.653,158.187,38.4,69.049,16.8,89.099,43.156,10.5,0.163,72.882,2.22,70.662,305.54,680.248,374.708,159.092,43.443,267.695,,0.13,,,,,millions,AUD,44.143,516.0,70.451,89.099,336.352,43.05,32.438,
H1 FY2024,205.967,123.012,82.955,40.3,36.865,17.9,46.484,23.229,11.3,0.08800000000000001,46.596,1.636,44.96,306.869,668.006,361.137,138.591,43.161,265.205,,,,,,,millions,AUD,23.449,,37.277,,,,,
FY2024,413.492,251.143,162.349,39.3,64.442,15.6,93.603,38.631,9.3,0.146,72.814,2.978,69.836,304.591,659.885,355.294,137.721,42.008,269.019,,0.15,,,,,millions,AUD,45.622,504.0,74.164,93.603,342.26,35.99,0.017,35.225
H1 FY2025,209.87,124.772,85.098,40.5,35.278,16.8,43.133,21.549,10.3,0.081,34.059,1.829,32.23,305.572,641.53,335.958,136.86,45.782,265.205,,,,,,,millions,AUD,23.829,,38.479,,,,,
FY2025,418.475,248.942,169.533,40.5,71.953,17.2,92.055,43.378,10.4,0.16399999999999998,69.151,2.836,66.315,302.974,648.288,345.314,133.126,49.3,268.056,,0.155,,,,,millions,AUD,46.477,472.0,76.268,92.055,350.475,30.74,0.015,37.245
H1 FY2026,214.072,127.164,86.908,40.6,39.051,18.2,46.925,24.734,11.6,0.094,26.919,1.73,25.189,296.893,634.003,337.11,138.337,43.281,265.205,,,,,,,millions,AUD,25.02,,39.584,,,,,
