Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
Q1 2023,472.158,83.908,,,,,,-34.422,-7.3,-0.05,-2212.76,23.72,-2236.48,,,,,,929.270723,64.226,,millions,USD
H1-2023,970.176,177.793,,,,,,-81.971,-8.4,-0.11,-4292.679,49.071,-4341.75,,,,,,932.926222,140.104,,millions,USD
Q2 2023,498.018,93.885,,,,,,-47.549,-9.5,-0.06,,,,,,,,,936.56942,75.878,,millions,USD
Q3 2023,537.209,98.258,,,,,,-266.684,-49.6,-0.29,,,,,,,,,951.183107,62.005,,millions,USD
H2-2023,1152.613,276.051,,,,,,-348.655,-30.2,-0.4,-6979.198,,,,,,,,939.070185,202.109,0.0,millions,USD
FY2023,2122.789,379.998,,,,,,-300.742,-14.2,-0.36,-7227.139,111.409,-7338.548,5234.612,30074.858,24519.872,5233.416,3085.02,945.024,271.216,0.0,millions,USD
Q1 2024,644.995,100.061,,,,,,88.043,13.7,0.02,738.248,31.984,706.264,,,,,,1042.477,55.082,0.0,millions,USD
H1-2024,1243.613,209.764,,,,,,105.447,8.5,0.03,253.877,68.696,185.181,,,,,,1042.403,116.139,0.0,millions,USD
Q2 2024,598.618,109.703,,,,,,17.404,2.9,0.01,,,,,,,,,1065.171,61.057,,millions,USD
Q3 2024,697.121,123.714,,,,,,60.745,8.7,0.05,,,,,,,,,1104.45,63.646,,millions,USD
H2-2024,1431.246,333.478,,,,,,166.192,11.6,0.08,-919.704,,,,,,,,1078.402,179.785,0.0,millions,USD
FY2024,2674.859,461.633,,,,,,498.665,18.6,0.39,-1119.807,154.265,-1274.0720000000001,6525.134,36250.951,29725.817,3092.692,2538.293,1101.39,246.152,0.0,millions,USD
Q1 2025,771.759,135.52,,,,,,71.116,9.2,0.06,21.502,52.604,-31.102,,,,,,1185.466,63.756,0.0,millions,USD
H1-2025,1626.703,285.957,,,,,,168.379,10.4,0.14,-1445.406,116.069,-1561.475,,,,,,1184.197,127.012,0.0,millions,USD
Q2 2025,854.944,150.437,,,,,,97.263,11.4,0.08,,,,,,,,,1182.877,63.256,,millions,USD
Q3 2025,961.6,161.423,,,,,,139.392,14.5,0.11,,,,,,,,,1291.011,66.469,,millions,USD
H2-2025,1986.651,447.38,,,,,,307.771,15.5,0.25,-2751.28,,,,,,,,1220.053,193.481,0.0,millions,USD
FY2025,3613.354,608.998,,,,,,481.32,13.3,0.39,-3742.458,242.444,-3984.902,10489.495,50660.478,40170.983,1815.162,4929.452,1251.767,262.058,0.0,millions,USD
Q1 2026,1100.368,171.123,,,,,,166.731,15.2,0.12,-2314.994,67.551,-2382.545,,,,,,1378.011,72.012,0.0,millions,USD
FY2026,,,,,,,,,,,,,,10811.591,53698.258,42886.667,,3401.02,1281.409498,,,millions,USD
