Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,FCFA2S,AdjEBITA,MaintenanceRevenue,LicenseRevenue,ProfServicesRevenue,HardwareRevenue,Notes
Q4 2018,830.5,,,,,,,179.0,21.5,8.45,208.0,10.9,197.1,866.1,2935.4,,389.0,588.6,21.192,,,millions,USD,178.0,226.1,2071.6,198.3,615.6,174.6,Q4 FCFA2S from Q4-2019 quarterly table; Debt=TSS 174+Deb 214.7=389
FY2018,3060.1,,,,,,,379.3,12.4,17.90,662.0,25.3,636.7,866.1,2935.4,,389.0,588.6,21.192,,,millions,USD,559.0,756.7,2071.6,198.3,615.6,174.6,Full year; FCFA2S from Q4-2019 report; Debt=TSS Memb+Debentures
Q1 2019,819.0,,,,,,,87.0,10.6,4.09,284.0,7.0,277.0,,,,,21.192,,,,millions,USD,250.0,,,,,,
Q2 2019,846.0,,,,,,,73.0,8.6,3.45,50.0,8.0,42.0,,,,,21.192,,,,millions,USD,12.0,,,,,,
Q3 2019,870.0,,,,,,,82.0,9.4,3.85,177.0,9.0,168.0,,,,,21.192,,,,millions,USD,134.0,,,,,,
Q4 2019,956.0,,,,,,,92.0,9.6,4.34,255.0,10.0,245.0,687.0,3488.0,,715.0,316.0,21.192,,,millions,USD,193.0,,2417.0,226.0,673.0,173.0,Debt: CSI WR 153+136+222=511; Deb WR 102; Lease 187; Total~715 (post-IFRS 16)
FY2019,3490.0,,,,,,,333.0,9.5,15.73,767.0,34.0,733.0,687.0,3488.0,,715.0,316.0,21.192,,,millions,USD,590.0,,2417.0,226.0,673.0,173.0,Full year; net income total (pre-NCI split); IFRS 16 adopted Jan 2019
Q1 2020,953.0,,,,,,,83.0,8.7,3.91,361.0,5.0,356.0,,,,,21.192,,,,millions,USD,311.0,,,,,,
Q2 2020,922.0,,,,,,,83.0,9.0,3.90,237.0,6.0,231.0,,,,,21.192,,,,millions,USD,190.0,,,,,,
Q3 2020,1003.0,,,,,,,122.0,12.2,5.78,234.0,8.0,226.0,,,,,21.192,,,,millions,USD,181.0,,,,,,
Q4 2020,1091.0,,,,,,,149.0,13.7,7.02,355.0,6.0,349.0,761.0,1048.0,,758.0,21.192,Debt: TSS 198+Deb 223+CSI current 113+WR 28+WR NC 199+CSI NC 421 approx,,,millions,USD,307.0,,,,,4375.0,
FY2020,3969.0,,,,,,,436.0,11.0,20.59,1186.0,25.0,1161.0,761.0,1048.0,,758.0,21.192,Full year; Debt approx from balance sheet current+non-current financial debt,,,millions,USD,989.0,,,,,4375.0,
Q1 2021,1176.0,,,,,,,-9.0,-0.8,-0.41,495.0,9.0,486.0,,,,,21.192,Net income = CSI common shareholders; NCI loss large in 2021 due to Topicus spinout,,,millions,USD,269.0,,,,,,
Q2 2021,1249.0,,,,,,,88.0,7.0,4.16,171.0,8.0,163.0,,,,,21.192,,,,millions,USD,145.0,,,,,,
Q3 2021,1299.0,,,,,,,107.0,8.2,5.04,292.0,6.0,286.0,,,,,21.192,,,,millions,USD,226.0,,,,,,
Q4 2021,1383.0,,,,,,,124.0,9.0,5.86,341.0,6.0,335.0,1125.0,1521.0,,763.0,21.192,Debt: CSI (143c+561nc)=704; WR (60c+354nc)=414; Rdm Pref 7; Total=1125,,,millions,USD,244.0,,,,,5766.0,
FY2021,5106.0,,,,,,,310.0,6.1,14.65,1300.0,29.0,1271.0,1125.0,1521.0,,763.0,21.192,Net income=CSI common shareholders; Redeemable pref 295 charge impacts NCI,,,millions,USD,883.0,,,,,5766.0,
Q1 2022,1431.0,,,,,,,98.0,6.9,4.63,498.0,8.0,490.0,,,,,21.192,,,,millions,USD,324.0,,,,,,
Q2 2022,1618.0,,,,,,,126.0,7.8,5.94,78.0,11.0,67.0,,,,,21.192,,,,millions,USD,12.0,,,,,,
Q3 2022,1725.0,,,,,,,136.0,7.9,6.42,321.0,11.0,310.0,,,,,21.192,,,,millions,USD,229.0,,,,,,
Q4 2022,1847.0,,,,,,,152.0,8.2,7.19,400.0,11.0,389.0,1974.0,1933.0,,811.0,21.192,Debt: CSI (505c+567nc)=1072; WR (316c+586nc)=902; Total=1974,,,millions,USD,290.0,,,,,7882.0,
FY2022,6622.0,,,,,,,512.0,7.7,24.18,1297.0,41.0,1256.0,1974.0,1933.0,,811.0,21.192,Full year; CSI shareholders net income,,,millions,USD,853.0,,,,,7882.0,
Q1 2023,1919.0,,,,,,,94.0,4.9,4.44,632.0,9.0,623.0,,,,,21.192,,,,millions,USD,453.0,,,,,,
Q2 2023,2039.0,,,,,,,103.0,5.1,4.88,123.0,11.0,112.0,,,,,21.192,,,,millions,USD,14.0,,,,,,
Q3 2023,2126.0,,,,,,,227.0,10.7,10.70,513.0,9.0,504.0,,,,,21.192,Net income restated to include $50M bargain purchase gain for Q3 2023,,,millions,USD,367.0,,,,,,
Q4 2023,2323.0,,,,,,,141.0,6.1,6.64,511.0,13.0,498.0,4148.0,1961.0,,1284.0,21.192,Debt: CSI (861c+863nc)=1724; WR (225c+1385nc)=1610; Rdm Pref 814; Total=4148,,,millions,USD,325.0,,,,,10899.0,
FY2023,8407.0,,,,,,,565.0,6.7,26.67,1779.0,42.0,1737.0,4148.0,1961.0,,1284.0,21.192,Full year; large jump in debt due to Topicus/Lumine redeemable pref 814,,,millions,USD,1160.0,,,,,10899.0,
Q1 2024,2353.0,,,,,,,105.0,4.5,4.95,737.0,10.0,727.0,,,,,21.192,,,,millions,USD,446.0,,,,,,
Q2 2024,2468.0,,,,,,,177.0,7.2,8.35,265.0,11.0,254.0,,,,,21.192,,,,millions,USD,182.0,,,,,,
Q3 2024,2541.0,,,,,,,164.0,6.5,7.74,517.0,19.0,498.0,4149.0,3136.0,,2069.0,21.192,Debt: CSI (294c+1881nc)=2175; WR (414c+1560nc)=1974; Total=4149,,,millions,USD,362.0,,,,,12573.0,
Q4 2024,2703.0,,,,,,,285.0,10.5,13.44,678.0,25.0,653.0,4166.0,3288.0,,1980.0,21.192,Debt: CSI (303c+1855nc)=2158; WR (319c+1689nc)=2008; Total=4166,,,millions,USD,482.0,,,,,12863.0,
FY2024,10066.0,,,,,,,731.0,7.3,34.48,2196.0,67.0,2129.0,4166.0,3288.0,,1980.0,21.192,Full year; Net income=CSI common shareholders; Rdm Pref repaid in 2024,,,millions,USD,1472.0,7396.0,393.0,1975.0,302.0,12863.0,
Q1 2025,2654.0,,,,,,,136.0,5.1,6.41,827.0,16.0,811.0,,,,,21.192,Restated net income per Q1-2026 comparative ($136M vs prior $115M); EPS $6.41 confirmed,,,millions,USD,510.0,,,,,,
Q2 2025,2844.0,,,,,,,56.0,2.0,2.66,433.0,16.0,417.0,,,,,21.192,CSI common shareholders net income,,,millions,USD,220.0,,,,,,
Q3 2025,2948.0,,,,,,,210.0,7.1,9.89,685.0,16.0,669.0,5015.0,4103.0,,2770.0,21.192,Debt: CSI (565c+1948nc)=2513; WR (578c+1924nc)=2502; Total=5015,,,millions,USD,529.0,,,,,15326.0,
Q4 2025,3177.0,,,,,,,110.0,3.5,5.19,787.0,20.0,767.0,5365.0,4267.0,,3089.0,21.192,Q4 derived: Rev FY11623-9M8446; NI FY512-9M402; CFO FY2732-9M1945; CapEx FY68-9M48; Debt: CSI carrying 2723+WR carrying 2642=5365,,,millions,USD,734.0,,,,,16171.0,
FY2025,11623.0,,,,,,,512.0,4.4,24.15,2732.0,68.0,2664.0,4267.0,16171.0,,5365.0,3089.0,21.192,,,millions,USD,2533.0,,8700.0,415.0,2126.0,382.0,Full year audited; FCFA2S=FCF2664-lease pmts131; Debt: CSI carrying 2723+WR carrying 2642=5365; Equity incl NCI 4267 (CSI-only portion 3576)
Q1 2026,3181.0,,,,,,,367.0,11.5,17.32,897.0,19.0,878.0,5122.0,4609.0,,3010.0,21.192,Debt: CSI carrying 2613+WR carrying 2509=5122; FCFA2S=FCF878-lease pmts38; Equity incl NCI 4609 (CSI-only portion 3884),,,millions,USD,840.0,,,,,16969.0,
