Shandong Weigao Group Medical Polymer Company Limited*
山東威高集團醫用高分子製品股份有限公司
(a joint stock limited company incorporated in the People’s Republic of China with limited liability)
（在中華人民共和國註冊成立的股份有限公司）
 (Stock Code 股票號碼 : 1066)

* For identification purposes only
 僅供識別




Annual Report 2018 年報
                                                              CONTENTS
                                                                  目錄




CORPORATE INFORMATION                            公司資料                2

CORPORATE PROFILE                                公司簡介                4

CHAIRMAN’S STATEMENT                             主席報告書               5

MANAGEMENT DISCUSSION AND ANALYSIS               管理層討論與分析            9

REPORT OF THE SUPERVISORY COMMITTEE              監事會報告書             22

REPORT OF THE DIRECTORS                          董事會報告              24

CORPORATE GOVERNANCE REPORT                      企業管治報告             39

DIRECTORS, SUPERVISORS AND SENIOR MANAGEMENT     董事、監事及高級管理人員       60

ENVIRONMENTAL, SOCIAL AND GOVERNANCE REPORT      環境、社會及管治報告         67

INDEPENDENT AUDITOR’S REPORT                     獨立核數師報告書           99

CONSOLIDATED STATEMENT OF PROFIT OR LOSS AND     綜合損益及其他全面收入報表     106
 OTHER COMPREHENSIVE INCOME

CONSOLIDATED STATEMENT OF FINANCIAL POSITION     綜合財務狀況表           108

CONSOLIDATED STATEMENT OF CHANGES IN EQUITY      綜合權益變動報表          110

CONSOLIDATED STATEMENT OF CASH FLOWS             綜合現金流量報表          112

NOTES TO THE CONSOLIDATED FINANCIAL STATEMENTS   綜合財務報表附註          114

FINANCIAL SUMMARY                                財務概要              292




                                                                         1
    CORPORATE INFORMATION
    公司資料

    DIRECTORS AND SUPERVISORS                                            董事及監事
    blood management, pharma packaging, medical testing,                                  科及介入產品八個主要業務領域。本集團
    a n e s t h e s i a a n d s u r g e r y, o r t h o p a e d i c p ro d u c t s a n d   以自有品牌包括「潔瑞」、「威高骨科」、
    interventional products. The Group’s products are sold under                          「亞華」、「邦德」及「海星」出售產品。產
    its own brand names, including “Jierui”, “Wego Ortho”,                                品銷售中國各地和出口至海外。於本報告
    “Yahua”, “Bangde” and “Hai Xing”. The products are sold                               日期，本集團國內客戶新增136家醫院，
    throughout the PRC and exported to overseas. As at the                                57家 其 他 醫 療 機 構 以 及68家 經 銷 商，本
    date of this report, the Group newly added 136 hospitals,                             集團的國內客戶總數為5,378家（ 包括醫
    57 other medical institutions and 68 distributors to its PRC                          院2,566家、血 站414家、其 他 醫 療 單 位
    customer base, and the Group has a PRC customer base of                               644家和經銷商1,754家），海外客戶總數
    5,378 in aggregate (including 2,566 hospitals, 414 blood                              為4,418家（ 包括醫院2,873家、其他醫療
    stations, 644 other medical units and 1,754 distributors)                             單位1,377家和經銷商168家）。
    and an overseas customer base of 4,418 in aggregate
    (including 2,873 hospitals, 1,377 other medical units and
    168 distributors).



                                                              % of sales                                                       % of sales
         2018                                                 收入佔比                 2017                                        收入佔比
        二零一八年                    Clinical Care 臨床護理              44.2%
                                                                                  二零一七年           Clinical Care 臨床護理              56.9%
                                 Wound Management 創傷管理            3.4%                            Wound Management 創傷管理            3.5%
                                 Blood Management 血液管理            4.6%                            Blood Management 血液管理            5.6%
                                 Pharma Packaging 藥品包裝           10.8%                            Pharma Packaging 藥品包裝           11.4%
                                 Medical Testing 醫學檢驗             1.7%                            Medical Testing 醫學檢驗             1.9%
                                 Anesthesia and Surgery 麻醉及手術 1.2%                                Anesthesia and Surgery 麻醉及手術 0.6%
                                 Orthopaedic Products 骨科產品       13.4%                            Orthopaedic Products 骨科產品       13.8%
                                 Interventional Products 介入產品    16.4%                            Interventional Products 介入產品     2.4%
                                 Other Consumables 其他耗材           4.3%                            Other Consumables 其他耗材           3.9%



                                                            Revenue of principal products (RMBm)    % of revenues
                                                                主要產品收入（ 百萬人民幣）                      收入佔比（％）
                                                                  2018          2017      %Change    2018         2017
                                                            二零一八年 二零一七年 年增長（% ） 二零一八年 二零一七年
    Clinical Care 臨床護理                                           3,892         3,581          8.7%  44.2%        56.9%
    Wound Management 創傷管理                                          300            222        35.5%   3.4%         3.5%
    Blood Management 血液管理                                          402            352        14.1%   4.6%         5.6%
    Pharma Packaging 藥品包裝                                          956            719        32.9%  10.8%        11.4%
    Medical Testing 醫學檢驗                                           151            119        26.7%   1.7%         1.9%
    Anesthesia and Surgery 麻醉及手術                                   106             36       192.4%   1.2%         0.6%
    Orthopaedic Products 骨科產品                                    1,181            870        35.6%  13.4%        13.8%
    Interventional Products 介入產品                                 1,444            149       868.6%  16.4%         2.4%
    Other Consumables 其他耗材                                         377            245        54.9%   4.3%         3.9%
    Total 總計                                                     8,809         6,293         40.0% 100.0%       100.0%


4   SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LIMITED ANNUAL REPORT 2018
    山東威高集團醫用高分子製品股份有限公司 2018 年報
                                                               CHAIRMAN’S STATEMENT
                                                                          主席報告書

On behalf of the board of directors (the “ Board ” ) of    本人欣然代表山東威高集團醫用高分子
Shandong Weigao Group Medical Polymer Company Limited,     製品股份有限公司董事會（「董事會」）提
I would like to present the audited consolidated results   呈本集團截至二零一八年十二月三十一
of the Group for the year ended 31 December 2018 (the      日 止 年 度（「本 年 度」）的 經 審 核 綜 合 業
“Year”).                                                   績。

FINANCIAL SUMMARY                                          財務摘要

Financial Summary                                          財務摘要


                                                               2018           2017        Increase
                                                           二零一八年          二零一七年               增長
                                                            RMB’000        RMB’000              %
                                                           人民幣千元          人民幣千元

Turnover from continuing operations       來自持續經營業務營業額       8,808,861      6,292,641       40.0%
Gross profit from continuing operations   來自持續經營業務毛利        5,389,154      3,992,823       35.0%
Net profit attributable to the owners     本公司擁有人應佔純利
  of the Company                                            1,472,935      1,728,660       (14.8%)
Net profit attributable to the owners     不計特殊項目本公司
  of the Company (excluding                擁有人應佔純利
  extraordinary items)                                      1,586,834      1,337,592       18.6%


                                                                          As at 31 December
                                                                           於十二月三十一日
                                                                             2018          2017
                                                                        二零一八年        二零一七年
                                                                         RMB’ 000      RMB’000
                                                                        人民幣千元        人民幣千元
                                                                                      (restated)
                                                                                     （ 經重列）


ASSETS AND LIABILITIES                      資產及負債

Total assets                                總資產                         23,986,873     16,781,017
Total liabilities                           總負債                         (8,795,973)    (3,142,567)
Non-controlling interests                   非控股權益                         (676,327)      (303,945)

Equity attributable to owners               本公司擁有人應佔權益
  of the Company                                                        14,514,573     13,334,505




                                                                                                     5
    CHAIRMAN’S STATEMENT
    主席報告書

    ANNUAL GENERAL MEETING AND CLOSURE                                              股東週年大會及暫停辦理股份過
    OF REGISTER OF MEMBERS                                                          戶登記手續

    Attending and Voting in the Annual General                                      出席股東週年大會並於會上投票
    Meeting


    In order to determine the shareholders who are entitled to                       為釐定股東出席股東週年大會並於會上
    attend and vote at the Annual General Meeting, the register                      投 票 的 資 格，本 公 司 將 於 二 零 一 九 年 六
    of members of the Company will be closed from Saturday,                          月一日（ 星期六）至二零一九年七月二日
    1 June 2019 to Tuesday, 2 July 2019 (both days inclusive),                      （ 星 期 二）（ 首 尾 兩 日 包 括 在 內）暫 停 過
    during which period no transfer of H Shares will be effected.                    戶登記，於該期間將不會辦理H股的過戶
    In order to qualify for attending and voting in the Annual                       登記手續。為符合資格出席股東週年大會
    General Meeting, Shareholders should ensure that all                             並 於 會 上 投 票，股 東 應 確 保 所 有 過 戶 文
    transfer documents, accompanied by the relevant share                            件連同有關股票不遲於二零一九年五月
    certificates, are lodged with the Company ’s H Share registrar,                  三十一日（ 星期五）下午四時三十分送交
    Tricor Standard Limited, at Level 22, Hopewell Centre, 183                       本公司的H股過戶登記處卓佳標準有限公
    Queen’s Road East, Hong Kong for registration no later than                      司，地址為香港皇后大道東183號合和中
    4:30 p.m. on Friday, 31 May 2019.                                                心22樓，以辦理登記手續。

    In order to qualify for attending and voting in the Annual                      為符合資格出席股東週年大會並於會上
    General Meeting:–                                                               投票：

    Latest time to lodge in transfer                                                交回過戶文件連同
      instrument accompanied                                                         H股股票之最後時限 . . . . 二零一九年
      by the share certificates for                                                                 五月三十一日
      H Shares . . . . . . . . . . . . . . . . . . . . . . . . 4:30 p.m., Friday,                      （ 星期五）
                                                                   31 May 2019                   下午四時三十分

    Closure of register of                                                          本公司暫停股份
      members of the Company for                                                     過戶登記以出席
      attending and voting in the                                                    股東週年大會並於
      Annual General Meeting . . . . . . Saturday, 1 June 2019 to                    會上投票 . . . . . . . . . . . . 二零一九年
                                             Tuesday, 2 July 2019                                   六月一日（ 星期六）至
                                              (both days inclusive)                                  二零一九年七月二日
                                                                                                                  （ 星期二）
                                                                                                   （ 首尾兩日包括在內）

    Latest time to lodge                                                            交回回條之
      in the reply slip . . . . . . . . . . . . . . . Tuesday, 11 June 2019          最後時限 . . . . . . . . . . . . 二零一九年
                                                                                                                  六月十一日
                                                                                                                  （ 星期二）
    Date of the
      Annual General Meeting . . . . . . . . . . Tuesday, 2 July 2019               股東週年大會日期 . . . . . . 二零一九年
                                                                                                          七月二日
                                                                                                         （ 星期二）




6   SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LIMITED ANNUAL REPORT 2018
    山東威高集團醫用高分子製品股份有限公司 2018 年報
                                                                                  CHAIRMAN’S STATEMENT
                                                                                             主席報告書

Entitlement of Proposed Final dividend                                       建議末期股息之權利


In order to determine entitlement to the proposed final                       為確定股東收取建議末期股息付款之權
dividend payment, the register of members of the Company                      利，本公司將於二零一九年七月九日（ 星
for H Shares will be closed from Tuesday, 9 July 2019 to                      期 二）至 二 零 一 九 年 七 月 十 四 日（ 星 期
Sunday, 14 July 2019 (both days inclusive), during which                      日）（ 首 尾 兩 日 包 括 在 內）暫 停H股 的 過
period no transfer of H Shares will be effected. In order                     戶登記，於該期間將不會辦理H股的過戶
to qualify for entitlement of the proposed final dividend,                    登 記 手 續。為 符 合 資 格 收 取 建 議 末 期 股
Shareholders should ensure that all transfer documents,                       息 之 權 利，股 東 應 確 保 所 有 過 戶 文 件 連
accompanied by the relevant share certificates, are lodged                    同有關股票不遲於二零一九年七月八日
with the Company ’ s H Share registrar, Tricor Standard                      （ 星期一）下午四時三十分送交本公司之
Limited, at 22/F, Hopewell Centre, 183 Queen’s Road East,                     H股過戶登記處卓佳標準有限公司，地址
Wanchai, Hong Kong for registration no later than 4:30 p.m.                   為香港灣仔皇后大道東183號合和中心22
on Monday, 8 July 2019.                                                       樓，以辦理登記手續。

In order to qualify to entitle the final dividend for the year               為符合資格獲派截至二零一八年十二月
ended 31 December 2018:–                                                     三十一日止年度之末期股息：

Latest time to lodge in transfer                                             交回過戶文件連同
  instrument accompanied                                                      H股股票之
  by the share certificates for                                               最後時限 . . . . . . . . . . . . 二零一九年
  H Shares . . . . . . . . . . . . . . . . . . . . . . 4:30 p.m., Monday,                                   七月八日
                                                               8 July 2019                                 （ 星期一）
                                                                                                     下午四時三十分

Closure of register of                                                       本公司暫停股份過戶
  members of the Company for                                                  登記以釐定
  entitlement of the final dividend                                           截至二零一八年
  for the year ended                                                          十二月三十一日
  31 December 2018 . . . . . . . . . . . .Tuesday, 9 July 2019 to             止年度之末期股息
                                            Sunday, 14 July 2019              之權利 . . . . . . . . . . . . . . 二零一九年
                                              (both day inclusive)                                              七月九日
                                                                                                             （ 星期二）至
                                                                                                              二零一九年
                                                                                                              七月十四日
                                                                                                               （ 星期日）
                                                                                               （ 首尾兩日包括在內）

Record date for the entitlement                                              釐定末期股息
  of the final dividend . . . . . . . . . . . . Sunday, 14 July 2019          權利之記錄日期 . . . . . . . 二零一九年
                                                                                                    七月十四日
                                                                                                    （ 星期日）

Expected despatch date of                                                    預期末期股息
  the final dividend . . . . . . . . . . Thursday, 15 August 2019             寄發日期 . . . . . . . . . . . . 二零一九年
                                                                                                           八月十五日
                                                                                                           （ 星期四）




                                                                                                                        7
    CHAIRMAN’S STATEMENT
    主席報告書

    The final dividend will be despatched at the risk of those                             末期股息將於二零一九年八月十五日（ 星
    entitled thereto to their respective registered addresses on or                        期四）或之前按有權獲派末期股息之持有
    before Thursday, 15 August 2019.                                                       人各自之登記地址寄發予彼等，郵誤風險
                                                                                           由彼等自行承擔。

    PROPOSED FINAL DIVIDEND                                                                建議末期股息

    The Board proposed the distribution of a final dividend for                            董事會建議派發截至二零一八年十二月
    the year ended 31 December 2018 of RMB0.052 (2017:                                     三十一日止年度之末期股息每股人民幣
    RMB0.046) (before considering any tax effect) per share                                0.052元（ 二零一七年：每股人民幣0.046
    t o t a l i n g R M B235,161,000 (2017: R M B208,027,000) ,                            元（ 未 考 慮 任 何 稅 務 影 響）），涉 及 總 額
    which will be subject to the approval of shareholders of                               為 人 民 幣235,161,000元（ 二 零 一 七 年：
    the Company at the forthcoming 2018 annual general                                     人 民 幣208,027,000元），須 於 即 將 舉 行
    m e e t i n g . D i v i d e n d p a y a b l e t o S h a re h o l d e r s w i l l b e   之 二 零 一 八 年 股 東 週 年 大 會 獲 批 准 後，
    declared in Renminbi and paid in Hong Kong dollars,                                    方可作實。應付股東之股息將以人民幣宣
    the exchange rate of which will be calculated based on                                 派並以港元支付，匯率將按股東週年大會
    the average exchange rate published by The People ’ s                                  前一週中國人民銀行公佈之平均匯率計
    Bank of China during the week prior to the Annual                                      算。待股東週年大會批准後，二零一八年
    General Meeting. Subject to the approval of the Annual                                 末期股息將於二零一九年八月十五日派
    General Meeting, the 2018 final dividend will be paid on                               付。
    15 August 2019.

    ACKNOWLEDGEMENTS                                                                       致謝

    The Group ’ s various achievements as mentioned above                                  本人在上文提及本集團各項成就，均有賴
    are attributable to the continued supports of the staff,                               於全體僱員、顧客及業務夥伴和各位股東
    customers and business partners and shareholders. I would                              一貫以來不斷的支持。對於彼等的貢獻，
    like to take this opportunity to express my most sincere                               本人謹此致以深切感謝！
    thanks for all your contributions!


    On behalf of the Board                                                                 代表董事會

    Zhang Hua Wei                                                                          張華威
    Chairman                                                                               主席
    27 March 2019                                                                          二零一九年三月二十七日




8   SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LIMITED ANNUAL REPORT 2018
    山東威高集團醫用高分子製品股份有限公司 2018 年報
                                                         MANAGEMENT DISCUSSION AND ANALYSIS
                                                                            管理層討論與分析

OPTIMIZATION OF PRODUCT MIX                                                   產品結構優化調整

During the Year, the gross profit margin from continuing                      年 內，本 集 團 毛 利 率 由 去 年 的6 3 . 5 %
operations of the Group slightly decreased to 62.2% (before                   下 降 到62.2%（ 扣 除 特 殊 項 目 前 約 為
deducting extraordinary items: 61.2%) from 63.5% of                           61.2% ），主要是產品結構變化產生的影
last year, mainly attributable to the effect from change of                   響。
product structure.

At the beginning of the year, the Group re-structured the                     自 年 初，本 集 團 對 產 品 戰 略 進 行 重 新 規
product strategies and optimised the previous classification                  劃，由以往的分類方式優化為臨床護理、
into eight business lines, comprising clinical care, wound                    創傷管理、血液管理、藥品包裝、醫學檢
management, blood management, pharma packaging,                               驗、麻醉及手術、骨科、介入產品八個業
medical testing, anesthesia and surgery, orthopedics and                      務領域，以突出公司產品發展方向。該等
interventional products to highlight the Company’s product                    領域所覆蓋市場規模極大。本集團堅信，
development direction. These business lines cover an                          由以往多品種策略上升為提供各專業領
enormous size of market. The Group continues to upgrade                       域系統化整體解決方案的全面服務策略
from the multi-product strategy to the strategy of providing                  將推動公司長期穩定發展。
total systematic solution with comprehensive services, in
various specialized business lines, which will facilitate steady
development of the Company in the long run.

The existing major products under each re-structured                          重新規劃的各業務領域現有主要產品如
business lines are as follows:                                                下：

1.   Clinical care business includes vascular and non-vascular                1.   臨 床 護 理 業 務 包 括 輸 液、注 射、穿
     access infusion devices include infusion sets, syringes,                      刺等血管輸液器械及非血管輸液器
     puncture needles, specialized single-use clinical                             械、臨 床 特 定 用 途 的 一 次 性 使 用 各
     collection kits.                                                              種套裝。

2.   Wo u n d m a n a g e m e n t b u s i n e s s i n c l u d e s w o u n d   2.   創傷管理業務包括：創面愈合敷料、
     healing dressings, wound suture, wound cleaning and                           傷口縫合、傷口清理、與非血管內導
     nonvascular catheter supporting extracorporeal devices.                       管配套用體外器械。

3.   Blood management business includes blood collection,                     3.   血 液 管 理 業 務 包 括：血 液 采 集、貯
     storage, separation and sterilization.                                        存、分離、滅菌消毒。

4.   Pharma packaging business includes prefilled syringes                    4.   藥品包裝業務包括：預灌封注射器、
     and pre-filled flush syringes.                                                沖管注射器。

5.   Medical testing business includes blood collection                       5.   醫學檢驗業務包括：采血器具、血糖
     devices and blood glucose testing.                                            檢驗。

6.   Anesthesia and surgery business includes general                         6.   麻 醉 及 手 術 業 務 包 括：全 身 麻 醉 耗
     anesthesia consumables, local anesthesia consumables,                         材、局部麻耗材、麻醉輔助耗材、ICU
     anesthesia auxiliary consumables, ICU equipment, open                         使用的器械；開放及微創手術器械。
     and minimally invasive surgical equipment.




                                                                                                                 9
     MANAGEMENT DISCUSSION AND ANALYSIS
     管理層討論與分析

     7.   Orthopedics business includes trauma, spinal                    7.    骨科業務：創傷、脊柱植入物，人工
          implant, artificial joints, sports injury, soft tissue                關節，運動損傷、軟組織修復及重建
          repair, reconstruction implant, orthopedic filling, and               植入物、骨填充材料、骨科相關手術
          orthopedic related surgical tools.                                    工具。

     8.   Interventional products business includes tumor                 8.    介 入 產 品 業 務：腫 瘤 介 入、血 管 介
          intervention, vascular intervention and interventional                入、影像介入。
          imaging.

     (1). During the Year, the clinical care business recorded            (1). 年 內，臨 床 護 理 業 務 錄 得 營 業 額 約
          a turnover of approximately RMB3,891,672,000, an                     為 人 民 幣3,891,672,000元，憑 借 豐
          overall increase of 8.7% in revenue over last year,                  富 產 品 組 合，拉 動 整 體 收 入 較 去 年
          the growth is principally due to rich product mix. The               增長8.7%；本集團繼續於該領域市
          Group continued to maintain a dominant position in the               場保持優勢地位。
          market segment.

     (2). During the Year, the pharma packaging business                  (2). 年 內，藥 品 包 裝 業 務 錄 得 營 業 額 約
          recorded a turnover of approximately RMB955,609,000,                 為人民幣955,609,000元，較去年增
          representing an increase of 32.9% over last year and                 長32.9%，仍保持強勁增長勢頭。預
          the Company continues to maintain a strong growth                    充式注射器進一步擴大在生物制藥
          momentum. Prefilled syringes have further expanded                   包 裝 領 域 的 市 場 影 響 力，形 成 廣 泛
          its market influence in the segment of pre-pack bio-                 客 戶 基 礎。沖 管 注 射 器 繼 續 保 持 高
          pharmaceuticals and built a broad customer base. Pre-                速增長。
          filled flush syringes maintained rapid growth.

     (3). During the Year, the orthopedics business recorded              (3). 年 內，骨 科 業 務 營 業 收 入 約 為 人 民
          a tur nover of approximately RMB1,180,563,000,                       幣1,180,563,000元，較 去 年 增 長
          representing an increase of 35.6% over last year.                    35.6%，通過進一步鞏固在脊柱領域
          Measures such as further consolidating its market                    的 市 場 地 位、加 大 關 節 產 品 市 場 推
          position in the spine segment, increased marketing                   廣，以及渠道下沉、搭建物流平台等
          of joint products, further penetration of distribution               措施，較好的拉動銷售增長。
          channels and establishment of a logistic platform have
          driven sales growth.

     (4). During the Year, as a result of consolidating products of       (4). 年 內，介 入 業 務 由 於 加 入 美 國 愛
          Argon Medical Devices Holdings, Inc. (“Argon”) from                  琅 醫 療 器 械 控 股 有 限 公 司（「 愛
          the US, the interventional business recorded a turnover              琅」）產 品，錄 得 營 業 額 約 為 人 民
          of approximately RMB1,444,238,000, representing                      幣1,444,238,000元，較 去 年 增 長
          an increase of 868.6% over last year. The Group will                 868.6%，本集團將利用資源擴大愛
          expand sales of Argon products in the PRC market                     琅產品在中國市場的銷售。
          through leveraging resources.

     During the Year, as a result of product mix adjustment, the          受以上產品結構調整舉措的影響，年內，
     percentage of turnover from high value-added products                本集團高附加值產品（ 毛利率超過60% ）
     (products with gross profit margins over 60%) to total               之營業收入佔營業收入總額之百分比約
     turnover was about 59.9% (2017: 59.7%).                              為59.9%（ 二零一七年：59.7% ）。




10   SHANDONG WEIGAO GROUP MEDICAL POLYMER COMPANY LIMITED ANNUAL REPORT 2018
     山東威高集團醫用高分子製品股份有限公司 2018 年報
                                                MANAGEMENT DISCUSSION AND ANALYSIS
                                                                   管理層討論與分析

RESEARCH AND DEVELOPMENT                                          研究與開發

For the year ended 31 December 2018, the Group obtained           截至二零一八年十二月三十一日止年度，
34 new patents and 136 new patents are under application          本集團中國國內新獲得專利34項，正在申
in the PRC. Product registration certificates for 65 new          請中的136項，新取得產品註冊證65項，
products were obtained. The research and development              已 經 研 發 完 成、尚 在 取 證 過 程 中 的 有23
for 23 products were completed for which application for          項。海外市場，正在申請中的專利19項，
product registration certificates are underway. For overseas      已經研發完成、尚在取證過程中的產品註
market, 19 new patents are under application and the              冊證有47項。
research and development for 47 products were completed
for which application for product registration certificates are
underway.

The strategy of placing strong emphasis on research and           注 重 研 發 的 策 略 提 升 了 公 司 的 競 爭 力，
development has enhanced the competitiveness and laid a           為充分利用客戶資源奠定了基礎，並為集
foundation for the Company to fully leverage on its customer      團盈利提供了新的增長點。
resources and provided the Group with new profit growth
drivers.

For the year ended 31 December 2018, the Group had                截至二零一八年十二月三十一日止年度，
over 434 product registration certificates and 471 patents,       本 集 團 國 內 擁 有434餘 項 產 品 註 冊 證，
of which 67 were patents on invention, in the PRC.                471餘項專利，其中67項是發明專利。海
For overseas market, the Group had over 584 product               外，擁 有584餘 項 產 品 註 冊 證，161餘 項
registration certificates and 161 patents.                        專利。

In view of the need for the strategic adjustments to              基於產品結構戰略性調整的要求，本集團
product mix, the Group continued to increase efforts on           繼續加大在現有產品系列框架內完善細
improvement and subdivision of product layout in existing         分產品佈局，持續保持本土研發實力的領
products series, so as to further improve its product series      先 地 位。截 至 二 零 一 八 年 十 二 月 三 十 一
and expand product range. The Group continued to                  日止年度，持續經營業務研發之總開支約
maintain the leading position in research and development         為 人 民 幣311,163,000元（ 二 零 一 七 年：
