Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
H1-2024,206.6,,,,73.6,35.8,82.4,59.0,28.7,1.36,22.5,-4.6,17.9,637.6,16561.5,15923.9,,6.8,43.4,19.0,,millions,EUR
Q2 2024,79.5,,,,16.4,21.5,21.1,12.8,16.8,0.3,,,,,,,,,43.4,,,millions,EUR
Q3 2024,107.3,,,,44.7,39.0,50.5,37.5,32.7,0.87,,,,,,,,,43.6,,,millions,EUR
Q4 2024,153.8,,,,76.9,48.4,82.1,63.2,39.7,1.47,,,,766.6,,,,8.4,43.1,,,millions,EUR
FY2024,467.8,,,,199.7,41.7,217.1,159.5,33.3,3.69,32.1,-6.6,25.5,766.6,12901.3,12134.7,25.0,8.4,43.1,25.8,0.0,millions,EUR
Q1 2025,140.2,,,,44.3,32.8,62.3,36.3,26.9,0.84,,,,,,,,,43.5,,,millions,EUR
H1-2025,283.6,,,,112.6,40.4,130.3,87.5,31.4,2.01,10.1,-4.2,5.9,820.8,15738.4,14917.6,,8.1,43.5,5.5,,millions,EUR
Q2 2025,143.4,,,,,,68.0,,,1.18,,,,,,,,,43.5,,,millions,EUR
Q3 2025,78.3,,,,13.3,16.5,19.4,10.9,13.5,0.25,,,,834.0,,,,,43.5,,,millions,EUR
Q4 2025,123.8,,,,43.5,36.0,49.2,35.1,29.0,0.81,,,,868.0,,,,8.1,43.6,,,millions,EUR
FY2025,485.8,,,,164.6,34.3,198.9,133.6,27.8,3.07,-120.6,-6.3,-126.9,868.0,15944.4,15076.4,164.9,7.2,43.5,17.6,0.0,millions,EUR
Q1 2026,155.9,,,,67.7,42.9,72.2,50.4,32.0,1.15,,,,918.4,,,,,43.9,,,millions,EUR
H1-2026,303.7,,,,126.1,41.3,135.9,91.2,29.9,2.07,-2.5,-6.5,-9.0,970.4,21243.7,20273.3,197.5,6.9,44.0,4.4,,millions,EUR
Q2 2026,147.8,,,,58.8,39.9,63.6,40.8,27.7,0.93,,,,,,,,,44.0,,,millions,EUR
